Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time	EpochS
0	-0.79454523	1.8756716	0.7421	-7.932353	-11805.633	12088.874	-7.745553	-48352.46	540.77313	-4458282.0	-22.29141	0.10550127	0.044029936	0.27503765	-0.024994448	200000	-1.2969971e-09	0.3780505	-0.02514424	-0.1163291	0.9189385	0.016151516	26.988193035125732	1.0
1	0.2522149	0.34044808	0.7417809	-0.24439514	-2705.2131	2907.2295	-9.71954	-17855.834	199.09592	-7333385.5	-18.33346375	-0.19573203	0.24352291	0.66603994	-0.94150287	400000	-1.2207031e-09	0.33657342	-0.017864909	-0.16843878	0.91810334	0.018188441	40.79195237159729	1.0
2	0.16003281	0.298308	0.74025756	-0.24726063	-2049.9807	2227.7996	-10.529794	-17040.045	152.45515	-10094034.0	-16.82339	0.21608132	0.18600985	0.8256443	-0.6733758	600000	-5.340576e-10	0.19926989	-0.005253178	-0.038281456	0.91699016	0.014738833	54.651801347732544	1.0
3	0.18424031	0.31256786	0.74653673	-0.19719356	-2031.8489	2488.105	-10.58748	-16583.309	146.28516	-12970244.0	-16.212805	0.32573625	0.19904502	0.859738	-0.39190343	800000	1.8310546e-09	0.2208379	-0.015979847	-0.02331838	0.9146886	0.009663463	68.39413976669312	1.0
4	0.10290038	0.25114077	0.74720085	-0.22806838	-1613.6542	1699.6284	-8.918265	-14645.16	117.3422	-15728692.0	-15.728692	0.22220236	0.28493908	1.106897	-0.78043824	1000000	2.2125244e-09	0.19935083	-0.013239777	-0.08018268	0.91225106	0.010547738	82.48457098007202	1.0
5	0.069774054	0.21298815	0.74332863	-0.24817094	-1190.0482	992.0196	-7.6496296	-8983.205	88.58752	-18411394.0	-15.342828333333333	0.4584918	0.3246269	1.2448132	-0.6456826	1200000	-2.0599364e-09	0.09727949	-0.0038107089	-0.03656409	0.91018826	0.010582767	96.4247465133667	1.0
6	0.07294948	0.21667685	0.7396152	-0.23280111	-1264.2285	1180.6417	-6.2663937	-15192.848	92.2523	-21156150.0	-15.111535714285715	0.5888483	0.41129935	1.4947532	-0.617288	1400000	-1.1444091e-09	0.063436896	-0.013807853	-0.0035387725	0.9022012	0.0178434	110.50631356239319	1.0
7	0.05597396	0.19282602	0.7452818	-0.21046272	-978.3966	711.0222	-7.1835804	-6502.685	73.30736	-23824098.0	-14.89006125	0.5924728	0.4371618	1.6118643	-0.5102171	1600000	4.5776366e-10	0.044976138	-0.007254755	-0.012869626	0.8981936	0.010476117	124.6340868473053	1.0
8	0.05539406	0.19219822	0.7499522	-0.24492243	-984.5749	798.85126	-6.7042813	-10409.599	73.42432	-26503064.0	-14.723924444444444	0.6571177	0.4865161	1.7955917	-0.653507	1800000	-7.629394e-11	0.035544142	-0.010424049	-0.0022332147	0.88960326	0.010995565	138.70046424865723	1.0
9	0.04596077	0.17726725	0.7483392	-0.2698242	-819.9172	534.8269	-8.267135	-5329.429	61.468502	-29170394.0	-14.585197	0.6598029	0.503183	1.8739538	-0.6418533	2000000	1.411438e-09	0.029681893	-0.007930069	-0.005580798	0.88113827	0.010319771	152.75779271125793	1.0
